species	fold	avg_x_mae	avg_y_mae
arabidopsis	1	0.4515697037585112	1.0851285533527062
arabidopsis	2	0.3360071741186114	0.6357147481801507
arabidopsis	3	0.4603420451208244	0.6584276871707222
arabidopsis	4	0.4361000706264573	0.7835378613274461
arabidopsis	5	0.4197112479359954	0.4852121502689775
arabidopsis	6	0.4262404344959635	0.7120720852360091
arabidopsis	7	0.3085038365658893	0.8590328043899436
arabidopsis	8	0.5577013183041335	0.7550420579041901
arabidopsis	9	0.5064559044562252	0.7867672988618608
arabidopsis	10	0.4187543745232233	0.8731765730912524
