species	fold	avg_x_mae	avg_y_mae
human	1	0.3677750681673404	0.5642557705569883
human	2	0.4284064889517812	0.4697527932514714
human	3	0.2284018247150841	0.6601705997284188
human	4	0.4494490832653983	0.2983221600999144
human	5	0.4836629864367514	0.4572915734798502
human	6	0.4641261131227363	0.2272596431755233
human	7	0.2646472993379836	0.5174187323136508
human	8	0.249066024757607	0.5244078349611746
human	9	0.3697541691144501	0.484612659076471
human	10	0.3762478049614217	0.2089656203068854
