4.801	0.237
4.236	0.22
4.243	0.444
4.204	0.179
5.064	1.068
4.935	0.982
4.191	0.239
4.293	0.414
4.225	0.445
4.303	0.347
4.303	0.277
4.461	0.581
4.461	0.282
4.461	0.445
4.634	0.636
4.634	0.635
4.029	0.171
4.052	0.224
4.067	0.148
4.054	0.321
4.287	0.339
4.592	0.358
3.968	0.312
4.369	0.594
4.155	0.176
4.604	0.918
4.06	0.611
3.85	0.2
4.143	0.256
4.132	0.363
4.313	0.472
4.496	0.567
4.334	0.182
3.925	0.25
4.72	0.482
4.236	0.417
4.635	0.456
4.434	0.429
4.097	0.329
4.094	0.291
3.858	0.164
3.896	0.355
4.126	0.542
4.333	0.596
4.452	0.451
4.226	0.374
4.203	0.269
4.701	0.466
4.689	0.442
4.26	0.386
3.789	0.159
4.278	0.544
4.303	0.326
4.334	0.272
4.157	0.21
4.469	0.571
4.176	0.243
4.288	0.191
4.288	0.352
4.082	0.144
4.127	0.133
4.252	0.299
3.921	0.133
4.517	0.425
4.543	0.874
4.097	0.177
4.164	0.122
4.342	0.485
4.317	0.339
4.218	0.43
4.173	0.295
4.205	0.108
4.172	0.349
4.385	0.245
4.385	0.161
4.385	0.334
4.33	0.331
4.33	0.424
4.193	0.51
4.796	0.63
4.991	0.991
4.579	0.707
4.149	0.204
4.284	0.435
4.966	0.935
5.085	1.447
5.043	0.813
4.288	0.183
8.427	18.403
8.259	17.947
8.363	25.564
8.084	23.624
8.213	20.296
4.083	0.261
3.84	0.217
4.229	0.698
4.037	0.99
4.544	0.896
4.731	1.315
4.209	0.276
4.193	0.329
4.175	0.253
3.907	0.187
4.013	0.328
3.845	0.246
4.024	0.173
4.097	0.235
4.061	0.195
3.96	0.416
4.134	0.492
3.942	0.372
3.877	0.199
5.06	0.948
4.303	0.341
4.634	0.859
4.17	0.566
4.178	0.144
3.954	0.207
4.373	0.575
5.238	0.667
4.465	0.365
3.822	0.235
4.879	0.527
4.394	0.188
4.157	0.455
4.2	0.362
4.256	0.379
4.466	0.215
4.229	0.292
3.97	0.179
4.679	0.639
4.172	0.258
4.172	0.276
4.33	0.573
4.411	0.333
4.166	0.621
4.094	0.107
4.391	0.253
8.252	18.598
8.28	17.973
4.284	0.785
3.951	0.379
4.152	0.643
4.051	0.213
4.24	0.337
4.285	0.39
4.44	0.174
4.273	0.44
