7.527	0.227
7.601	0.278
7.618	0.378
7.642	0.352
7.643	0.178
7.405	0.307
7.641	0.198
7.767	0.294
7.533	0.276
7.588	0.254
7.588	0.26
7.566	0.342
7.566	0.272
7.566	0.36
7.651	0.304
7.651	0.291
7.637	0.227
7.218	0.215
7.674	0.207
7.516	0.226
7.696	0.256
7.701	0.25
7.702	0.269
7.762	0.265
7.514	0.247
7.425	0.351
7.453	0.316
7.804	0.275
7.687	0.228
7.464	0.199
7.303	0.275
7.3	0.19
7.221	0.302
7.421	0.296
7.911	0.196
7.658	0.257
7.292	0.247
7.306	0.281
7.426	0.467
7.524	0.412
7.586	0.246
7.677	0.263
7.569	0.312
7.118	0.3
7.287	0.232
7.35	0.261
7.414	0.226
7.446	0.217
7.425	0.229
7.58	0.277
7.751	0.239
7.439	0.251
7.403	0.248
7.545	0.249
7.653	0.248
7.503	0.268
7.455	0.264
7.224	0.238
7.51	0.205
7.384	0.249
7.295	0.272
7.611	0.234
7.56	0.273
7.767	0.225
7.671	0.223
8.112	0.216
7.354	0.221
7.51	0.226
7.436	0.258
7.424	0.234
7.224	0.2
7.484	0.23
7.785	0.265
7.79	0.169
7.79	0.201
7.79	0.179
7.805	0.173
7.805	0.162
7.457	0.313
7.617	0.272
7.656	0.248
7.659	0.233
7.65	0.214
7.473	0.193
7.407	0.212
7.419	0.253
7.356	0.191
7.572	0.267
8.182	1.304
8.279	1.301
7.897	1.214
7.72	1.255
8.043	1.261
7.726	0.275
7.63	0.316
7.689	0.285
7.668	0.362
7.418	0.306
7.358	0.258
7.602	0.188
7.695	0.18
7.885	0.219
7.78	0.239
7.789	0.211
7.568	0.219
7.601	0.163
7.926	0.213
7.634	0.187
7.818	0.212
7.927	0.284
7.618	0.221
7.557	0.138
7.391	0.227
7.588	0.258
7.651	0.288
7.791	0.243
7.615	0.191
7.856	0.27
7.215	0.225
7.604	0.203
7.615	0.21
7.369	0.285
7.642	0.2
7.734	0.19
7.512	0.311
7.468	0.297
7.347	0.286
7.389	0.265
7.472	0.262
7.35	0.292
7.726	0.242
7.785	0.249
7.785	0.265
7.805	0.192
7.656	0.243
7.757	0.377
7.647	0.203
7.488	0.176
8.048	1.023
8.068	1.228
7.706	0.29
7.701	0.287
7.621	0.327
7.647	0.187
7.737	0.244
7.807	0.188
7.48	0.129
7.691	0.207
