6.842	0.241
7.483	0.55
7.087	0.632
7.566	0.743
7.57	0.641
6.989	0.437
7.26	0.263
6.431	0.234
7.455	0.422
6.768	0.321
6.768	0.422
5.821	0.091
5.821	0.174
5.821	0.128
5.402	0.064
5.402	0.101
6.854	0.289
6.72	0.345
7.161	0.511
6.695	0.309
7.287	0.352
6.963	0.455
7.282	0.579
7.855	0.858
7.135	0.358
9.508	3.557
9.858	5.014
7.32	0.313
7.184	0.338
7.063	0.582
6.708	0.319
6.387	0.233
7.28	0.663
7.433	0.751
7.422	0.435
8.011	1.197
7.828	0.993
7.956	0.946
7.959	1.723
8.457	2.627
8.124	1.66
8.738	2.078
9.188	3.406
8.858	2.236
8.818	2.246
9.765	5.691
7.252	0.8
7.4	0.67
7.288	0.555
6.172	0.32
6.149	0.225
6.374	0.322
7.5	0.747
7.868	1.088
7.615	0.748
8.915	2.232
8.241	1.134
8.063	0.886
7.617	0.654
7.284	0.523
6.943	0.323
7.299	0.264
7.292	0.425
8.41	0.942
7.765	1.024
8.038	1.096
6.89	0.238
8.197	0.703
7.558	0.626
6.906	0.356
6.708	0.462
6.628	0.278
6.449	0.307
6.896	0.385
6.896	0.413
6.896	0.439
6.019	0.251
6.019	0.21
9.088	3.885
6.528	0.212
6.557	0.399
6.449	0.24
7.465	0.653
7.854	0.769
7.463	0.765
6.936	0.506
6.788	0.362
7.809	0.694
7.049	1.191
7.427	1.449
7.24	1.103
7.635	1.31
7.323	1.184
6.398	0.2
7.361	0.79
7.259	0.757
7.904	1.336
9.093	3.234
8.76	2.341
6.544	0.138
6.484	0.082
6.321	0.156
6.409	0.181
7.77	0.899
7.057	0.54
6.451	0.069
6.111	0.085
6.747	0.058
6.667	0.234
7.427	0.809
8.403	1.54
7.291	0.333
7.254	0.37
6.768	0.383
5.402	0.113
6.974	0.293
7.33	0.344
7.231	0.466
6.307	0.343
7.654	0.726
6.293	0.17
5.536	0.164
6.025	0.066
7.553	0.51
9.574	4.878
8.311	1.14
9.304	3.659
7.706	0.546
8.26	0.924
7.559	0.396
5.704	0.16
6.449	0.317
6.449	0.329
6.019	0.207
8.852	1.86
9.374	3.387
7.316	0.404
7.346	0.286
7.79	1.339
7.441	1.357
6.442	0.159
6.437	0.163
7.046	0.643
6.594	0.089
7.556	0.596
6.888	0.146
6.591	0.128
7.629	0.714
