7.919	0.165
8.36	0.75
8.233	0.993
8.229	1.153
7.793	0.258
7.731	0.28
7.827	0.183
8.138	0.1
7.812	0.17
8.267	0.166
8.267	0.197
7.636	0.259
7.636	0.354
7.636	0.298
8.094	0.114
8.094	0.104
8.429	0.16
7.96	0.183
8.344	0.119
8.609	0.28
8.422	0.311
8.192	0.194
8.003	0.148
8.295	0.187
8.383	0.201
8.129	0.375
8.293	0.503
8.74	0.117
7.994	0.153
8.362	0.901
7.879	0.165
8.015	0.206
7.612	0.21
8.162	0.395
8.313	0.302
8.07	0.222
7.602	0.199
7.806	0.054
7.87	1.047
7.84	1.401
8.056	1.284
8.213	0.351
7.589	0.338
7.226	0.231
7.692	0.144
7.703	0.374
7.935	0.114
7.482	0.058
7.575	0.091
7.9	0.231
7.549	0.074
7.776	0.244
7.796	0.237
7.487	0.185
7.727	0.117
7.582	0.137
7.738	0.315
7.87	0.174
7.988	0.21
8.056	0.182
8.292	0.13
8.253	0.137
8.268	0.155
7.718	0.115
7.702	0.128
8.349	0.162
7.972	0.249
7.835	0.481
8.205	0.112
8.316	0.084
8.007	0.18
7.962	0.115
8.135	0.19
8.35	0.164
8.35	0.186
8.35	0.219
8.148	0.198
8.148	0.263
8.068	0.289
8.301	0.365
8.318	0.728
8.155	0.699
7.658	0.195
8.066	0.255
8.27	0.959
8.369	1.084
8.517	1.327
8.028	0.275
7.509	1.014
7.58	0.913
7.671	0.972
7.329	0.689
7.655	1.228
8.61	0.255
8.477	0.311
8.695	0.288
8.488	0.244
8.76	0.275
8.674	0.173
8.688	0.15
8.581	0.111
8.539	0.101
8.574	0.202
8.801	0.056
8.822	0.125
8.846	0.078
8.802	0.2
8.587	0.133
8.653	0.155
9.19	0.713
9.393	0.552
7.834	0.178
7.792	0.153
8.267	0.208
8.094	0.12
8.23	0.191
7.768	0.218
8.237	0.176
8.318	0.33
8.261	1.505
7.971	0.191
8.131	0.27
8.038	0.078
7.696	0.181
7.852	0.177
7.465	0.205
7.797	0.236
8.039	0.349
7.715	0.117
7.725	0.364
7.998	0.126
8.135	0.133
8.135	0.246
8.148	0.199
8.202	0.218
8.156	0.192
8.193	0.203
8.17	0.262
7.502	1.061
7.696	0.899
8.549	0.095
8.262	0.044
8.799	0.141
8.615	0.144
8.531	0.179
8.56	0.171
8.692	0.064
9.049	0.577
