5.704	0.466
5.859	0.689
5.737	0.791
5.672	0.776
5.84	0.378
5.7	0.567
5.642	0.434
5.867	0.585
5.607	0.701
5.946	0.894
5.946	0.976
5.572	0.654
5.572	0.557
5.572	0.614
5.532	0.59
5.532	0.465
5.869	0.712
5.783	0.786
5.982	0.683
5.901	0.638
5.828	0.744
5.88	0.865
6.082	1.427
6.159	1.19
5.9	0.852
5.724	0.978
5.741	0.963
5.673	0.551
6.172	0.632
5.785	0.466
5.781	0.854
5.735	0.695
5.864	0.69
5.772	0.681
5.971	0.78
5.681	0.702
5.595	0.535
5.658	0.532
5.795	0.874
5.693	0.865
5.622	0.536
5.701	0.818
5.803	1.073
5.792	0.786
5.839	0.781
5.532	0.792
5.803	0.583
5.461	0.63
5.464	0.525
5.666	0.504
5.7	0.514
5.66	0.635
5.879	0.82
5.615	0.594
5.989	0.911
5.682	1.066
5.69	0.736
5.945	0.769
5.952	0.803
5.877	0.726
5.749	0.693
5.565	0.645
5.846	0.806
5.68	0.548
5.88	0.634
5.994	0.597
5.701	0.41
5.547	0.445
5.89	0.682
6.278	0.976
6.089	1.143
6.041	1.092
5.899	0.727
6.159	0.513
6.159	0.541
6.159	0.5
5.824	0.301
5.824	0.422
5.66	0.767
5.915	0.729
5.776	0.795
6.02	0.815
5.871	0.975
5.851	0.847
5.746	0.771
5.731	0.706
5.808	0.489
5.949	1.027
5.73	7.471
5.739	6.955
5.732	6.136
5.961	5.294
5.769	6.534
5.891	0.728
5.852	0.8
5.71	0.492
5.975	0.643
5.694	0.681
5.639	0.467
5.83	0.251
5.886	0.354
5.965	0.508
5.807	0.304
5.934	0.353
6.112	0.355
5.944	0.237
5.872	0.249
5.932	0.527
5.99	0.373
6.042	0.274
5.777	0.264
5.904	0.384
5.708	0.618
5.946	0.975
5.532	0.625
5.954	0.768
6.049	0.74
6.075	0.951
5.872	0.708
5.601	0.597
5.973	0.702
5.802	0.471
5.78	0.159
5.481	0.247
5.7	0.806
5.623	0.957
5.622	0.864
5.758	0.76
5.83	1.147
5.492	0.629
6.057	1.077
5.899	0.802
5.899	0.806
5.824	0.385
5.937	0.564
5.891	0.759
5.873	0.747
5.815	0.707
5.915	5.543
5.797	6.1
5.753	0.603
5.767	0.641
5.927	0.577
5.819	0.359
5.683	0.356
5.935	0.278
5.935	0.201
5.693	0.25
