7.273	2.464
6.679	2.448
7.015	3.001
7.158	2.923
7.682	3.434
7.249	3.435
7.138	2.234
7.212	3.141
7.205	2.843
6.984	2.681
6.984	2.465
7.466	3.308
7.466	3.551
7.466	3.246
7.343	3.371
7.343	3.69
7.103	2.641
6.615	2.152
7.249	1.706
7.089	2.24
7.204	2.443
7.02	1.939
7.141	2.433
6.844	2.417
7.383	2.992
7.419	4.677
7.672	5.514
6.365	1.733
7.227	2.246
7.536	3.488
7.558	4.0
7.075	3.06
7.908	5.229
7.36	3.05
7.289	2.591
7.205	2.797
7.361	3.378
7.48	3.247
8.462	9.739
8.617	12.502
8.376	7.97
7.087	1.988
6.653	3.056
6.247	2.118
7.384	3.336
7.842	4.528
7.365	3.614
7.577	3.329
7.338	3.317
7.531	4.647
7.613	3.565
7.356	4.01
6.874	2.888
7.558	2.953
7.439	2.433
7.156	2.886
7.52	2.863
6.893	2.564
6.929	2.494
7.268	2.417
6.96	2.674
6.632	2.225
7.09	2.896
6.921	2.308
6.874	2.315
6.693	2.446
7.11	2.327
7.016	1.651
6.953	2.146
7.108	2.923
6.965	2.655
7.204	2.511
6.755	2.499
6.854	2.343
6.854	2.118
6.854	2.304
7.169	1.904
7.169	1.913
7.808	6.546
7.261	2.591
7.22	2.827
7.009	3.012
6.836	2.294
6.939	3.09
7.499	4.742
7.63	4.387
7.407	3.493
7.044	2.469
9.754	38.201
9.721	34.832
9.875	39.379
9.793	35.072
9.775	35.461
7.426	2.794
7.441	4.036
7.075	2.272
7.412	3.975
7.725	5.114
7.607	4.402
7.258	2.245
7.311	2.167
7.215	2.687
7.474	2.514
7.264	2.279
6.977	2.087
6.939	1.477
7.366	2.208
7.09	2.374
7.14	1.879
7.006	2.554
6.903	1.799
6.92	1.798
7.597	4.106
6.984	2.541
7.343	3.062
7.097	2.344
7.2	2.449
7.33	3.158
7.312	3.291
7.485	3.596
7.281	2.911
7.146	2.745
7.33	1.961
7.118	1.693
7.339	4.171
7.653	3.252
7.142	2.162
6.943	2.386
7.326	2.491
7.537	2.631
6.813	2.482
6.755	2.636
6.755	2.588
7.169	1.953
7.389	3.279
7.349	3.779
7.035	2.348
7.237	2.156
9.761	31.023
9.623	34.101
7.482	2.753
7.666	3.842
6.913	3.17
7.061	1.573
7.588	2.134
7.295	1.83
7.182	1.532
7.2	1.667
