6.396	0.155
7.269	0.554
7.095	0.875
6.897	0.867
6.695	0.112
6.746	0.163
6.359	0.131
7.116	0.093
6.587	0.084
7.187	0.129
7.187	0.151
6.474	0.327
6.474	0.345
6.474	0.271
6.865	0.123
6.865	0.111
6.883	0.091
6.857	0.069
6.902	0.09
7.012	0.154
7.228	0.117
6.968	0.106
6.844	0.211
7.046	0.2
7.196	0.182
6.659	0.303
6.913	0.299
7.18	0.141
6.649	0.112
6.596	0.226
6.748	0.326
7.042	0.193
6.378	0.221
6.907	0.185
7.148	0.052
6.882	0.234
6.835	0.768
6.818	0.314
7.174	2.424
7.161	2.879
6.669	1.144
7.049	0.291
6.841	0.622
6.568	0.332
6.838	0.163
6.687	0.307
7.156	0.187
6.647	0.314
6.78	0.211
7.011	0.19
6.675	0.121
7.0	0.175
6.674	0.096
6.391	0.151
6.748	0.144
6.649	0.438
6.753	0.246
6.667	0.153
6.922	0.344
6.831	0.13
7.492	0.196
6.954	0.133
7.203	0.117
6.592	0.152
6.92	0.23
7.311	0.162
6.724	0.055
6.708	0.062
7.059	0.17
7.253	0.174
7.067	0.082
7.223	0.113
7.065	0.09
7.249	0.15
7.249	0.126
7.249	0.104
6.947	0.094
6.947	0.147
7.183	0.71
6.928	0.119
6.877	0.124
6.827	0.116
6.588	0.127
7.041	0.083
6.614	0.424
7.039	0.449
7.069	0.297
6.941	0.137
7.563	14.792
7.592	16.409
7.513	15.549
7.372	16.912
7.452	15.03
7.944	0.099
7.534	0.483
7.759	0.846
7.817	0.153
7.47	0.155
7.641	0.202
7.541	0.084
7.792	0.119
7.847	0.096
7.764	0.144
7.82	0.063
7.886	0.095
7.977	0.1
7.776	0.113
7.895	0.063
7.842	0.058
7.688	0.305
7.973	0.376
6.471	0.07
6.654	0.259
7.187	0.106
6.865	0.183
6.881	0.096
6.596	0.082
7.025	0.225
7.109	0.157
6.596	0.368
6.978	0.273
6.69	0.092
6.692	0.013
6.457	0.038
7.039	0.238
6.522	0.221
6.961	0.3
6.629	0.102
6.573	0.083
6.673	0.189
7.205	0.16
7.065	0.093
7.065	0.138
6.947	0.111
7.078	0.245
7.306	0.679
6.601	0.125
7.024	0.099
7.496	15.2
7.63	15.666
7.905	0.15
7.703	0.083
7.785	0.821
7.691	0.12
7.748	0.074
7.727	0.086
7.701	0.03
7.684	0.275
