5.382	0.163
5.935	0.646
6.009	1.189
6.461	1.3
5.112	0.155
5.262	0.13
5.225	0.441
5.2	0.306
5.122	0.468
5.31	0.249
5.31	0.22
4.294	0.089
4.294	0.045
4.294	0.099
5.066	0.055
5.066	0.058
5.283	0.255
4.921	0.216
5.335	0.132
5.386	0.203
5.395	0.326
5.547	0.247
5.661	0.642
5.63	0.376
5.319	0.304
5.317	0.785
5.015	0.505
5.282	0.12
4.714	0.133
4.985	0.081
4.833	0.299
5.338	0.144
5.232	0.084
5.041	0.159
5.142	0.136
5.293	0.366
4.976	0.147
4.938	0.258
5.543	0.991
5.36	0.678
5.308	0.593
5.063	0.127
5.108	0.178
4.57	0.122
5.398	0.278
5.517	0.692
4.666	0.048
4.899	0.091
4.728	0.025
4.852	0.074
5.067	0.08
4.719	0.062
5.011	0.075
5.198	0.101
5.17	0.21
4.796	0.153
5.283	0.515
5.004	0.298
5.122	0.325
5.254	0.23
5.471	0.135
5.19	0.198
5.226	0.187
4.953	0.229
4.91	0.068
5.608	0.144
5.132	0.06
5.485	0.224
5.389	0.165
5.552	0.197
5.26	0.182
5.456	0.434
5.41	0.155
5.338	0.158
5.338	0.085
5.338	0.126
5.256	0.087
5.256	0.113
5.427	0.342
5.419	0.184
5.458	0.147
5.353	0.494
5.26	0.337
4.927	0.184
4.932	0.324
4.958	0.236
5.215	0.134
5.476	0.515
5.316	0.723
5.275	1.206
5.243	0.995
5.198	1.13
5.447	1.144
5.238	0.071
5.621	0.565
5.808	0.749
5.104	0.146
5.716	0.536
5.238	0.148
5.413	0.052
5.328	0.038
5.137	0.069
5.354	0.061
5.202	0.053
5.584	0.034
5.495	0.074
5.226	0.056
5.328	0.052
5.587	0.168
5.466	0.227
5.45	0.281
4.963	0.138
4.704	0.084
5.31	0.226
5.066	0.089
5.444	0.158
4.797	0.126
5.407	0.263
5.346	0.133
4.687	0.11
4.949	0.101
5.024	0.044
4.993	0.05
4.892	0.018
5.188	0.36
4.667	0.19
5.077	0.189
5.299	0.342
5.385	0.369
5.159	0.173
5.689	0.368
5.41	0.132
5.41	0.082
5.256	0.135
6.099	0.571
6.237	1.234
5.281	0.21
5.025	0.132
5.338	0.995
5.304	1.088
5.331	0.069
5.276	0.069
5.689	0.702
5.235	0.071
5.374	0.044
5.208	0.075
5.46	0.057
5.709	0.293
