5.208	0.319
5.562	0.732
5.442	0.904
5.474	0.993
5.435	0.571
5.438	0.656
5.155	0.192
5.106	0.263
4.93	0.422
5.305	0.28
5.305	0.31
5.184	0.345
5.184	0.403
5.184	0.352
5.15	0.314
5.15	0.369
5.307	0.29
5.093	0.351
5.294	0.287
5.383	0.442
5.265	0.334
5.195	0.328
5.062	0.299
5.069	0.377
5.413	0.244
5.391	0.553
5.284	0.773
5.327	0.304
5.07	0.332
5.363	0.371
5.199	0.566
5.209	0.43
5.58	0.963
5.273	0.579
5.289	0.42
5.291	0.373
4.879	0.378
5.324	0.362
5.756	1.649
5.961	2.123
6.089	1.5
5.172	0.381
5.213	0.52
5.129	0.349
5.036	0.363
5.247	0.676
5.313	0.224
5.023	0.268
5.042	0.207
5.571	0.935
5.397	0.781
5.853	1.014
5.077	0.254
4.927	0.339
4.924	0.211
5.195	0.424
5.122	0.417
4.93	0.328
5.091	0.323
5.164	0.243
5.265	0.3
5.269	0.284
5.227	0.224
4.981	0.299
4.933	0.381
5.399	0.275
5.221	0.424
5.11	0.378
5.277	0.245
5.366	0.211
5.174	0.286
5.27	0.207
5.348	0.318
5.212	0.246
5.212	0.306
5.212	0.304
5.295	0.189
5.295	0.27
5.428	0.669
5.072	0.217
5.151	0.351
5.094	0.28
5.264	0.287
5.122	0.242
5.274	0.434
5.254	0.5
5.395	0.39
5.039	0.288
7.286	7.797
7.331	7.896
7.384	8.041
7.378	6.897
7.247	7.976
5.213	0.29
5.462	1.026
5.417	0.698
5.269	0.54
5.263	0.566
5.317	0.576
5.061	0.165
5.062	0.135
5.153	0.223
5.224	0.153
5.205	0.155
5.199	0.25
5.185	0.114
5.353	0.219
5.096	0.209
5.386	0.234
5.331	0.788
5.511	0.653
4.943	0.22
5.495	0.882
5.305	0.311
5.15	0.355
5.299	0.316
5.223	0.282
5.19	0.222
5.472	0.392
4.955	0.281
5.354	0.23
5.294	0.472
4.958	0.161
4.862	0.253
5.153	0.419
4.805	0.251
5.084	0.42
4.97	0.34
4.969	0.282
5.449	0.556
5.305	0.224
5.348	0.349
5.348	0.311
5.295	0.238
5.191	0.291
5.158	0.303
5.139	0.34
5.301	0.25
7.292	6.344
7.297	6.952
5.227	0.289
5.255	0.292
5.339	0.636
5.138	0.16
5.25	0.233
5.007	0.183
5.177	0.137
5.49	0.556
