8.744	6.513
9.914	21.419
10.122	26.453
10.204	23.546
9.571	19.923
9.633	15.696
8.839	6.964
8.853	7.622
9.666	10.094
8.628	6.28
8.628	5.577
9.101	8.206
9.101	5.632
9.101	7.669
8.581	5.417
8.581	7.337
8.68	7.589
8.649	5.651
9.182	9.636
8.97	9.945
9.146	7.181
8.766	5.567
9.019	7.499
9.109	9.266
8.998	7.282
10.273	31.171
10.782	45.706
8.213	5.402
9.05	6.049
8.418	8.97
9.558	13.153
8.824	7.422
10.419	31.439
9.86	23.58
8.689	8.553
9.293	11.574
9.464	14.381
9.253	11.141
10.898	48.999
11.379	70.361
11.112	66.103
9.553	15.416
9.588	18.69
9.211	12.109
9.22	10.63
10.368	30.798
8.701	8.326
8.858	6.66
8.935	7.699
9.774	20.313
9.762	13.625
10.203	27.724
8.847	9.017
9.07	9.36
8.651	5.771
9.546	15.907
9.586	15.227
9.426	12.175
8.752	7.743
9.23	8.002
8.966	8.072
8.791	8.744
9.264	10.835
9.773	11.385
8.895	10.008
8.833	8.483
9.624	8.667
9.258	8.489
8.735	8.28
8.546	7.408
8.698	7.161
8.841	7.267
8.97	8.375
8.848	8.842
8.848	7.144
8.848	7.367
9.21	11.949
9.21	12.227
11.276	78.118
8.351	5.192
8.34	6.333
8.622	7.951
8.749	7.751
8.69	5.293
9.576	14.113
8.59	10.122
8.464	10.867
9.534	10.235
10.54	77.128
10.723	83.706
10.916	81.576
11.022	72.547
10.899	88.693
8.504	6.757
9.386	12.285
9.809	16.647
8.594	9.362
9.81	21.599
9.903	26.562
7.904	4.067
8.137	3.938
8.539	5.053
8.441	4.86
8.328	6.314
8.253	6.992
7.642	4.071
7.812	3.321
8.277	3.63
8.572	5.638
9.116	16.657
9.262	16.324
8.164	4.014
9.836	17.944
8.628	6.239
8.581	6.58
9.101	8.554
9.406	8.568
9.106	9.943
8.032	6.974
8.873	6.551
8.531	6.584
8.817	9.863
9.036	5.884
9.08	5.833
9.84	24.216
9.378	14.982
9.562	18.261
9.376	9.003
8.807	6.811
10.27	20.363
8.547	5.791
8.97	9.697
8.97	9.38
9.21	12.826
9.944	19.724
11.077	55.488
8.961	9.009
8.679	6.592
11.01	89.631
11.054	85.21
8.356	6.506
8.455	7.134
8.821	14.218
8.143	3.877
8.557	6.493
8.159	4.045
7.642	3.242
9.574	13.601
